ZIP_CODE,LATITUDE,LONGTITUDE,PONAME,COLOR
11560,37.518453,126.9029276,____,1E6CD6
11545,37.4803942,126.8826896,___,EA2A0C
11350,37.6258791,127.0729249,___,C5F216
11650,37.4926309,127.0129287,___,16F22D
11650,37.4836352,127.0120163,___,16F22D
11590,37.4979583,126.920932,___,34EA0C
11560,37.5257254,126.8982615,____,1E6CD6
11560,37.4964605,126.9080406,____,1E6CD6
11560,37.5022742,126.8948668,____,1E6CD6
11560,37.5283921,126.9196608,____,1E6CD6
11560,37.5175727,126.9320094,____,1E6CD6
11560,37.5422534,126.8915507,____,1E6CD6
11560,37.523083,126.8899258,____,1E6CD6
11560,37.5211903,126.8902655,____,1E6CD6
11560,37.5266118,126.888046,____,1E6CD6
11560,37.5321538,126.8951144,____,1E6CD6
11560,37.5329947,126.8960305,____,1E6CD6
11560,37.5364609,126.8948484,____,1E6CD6
11560,37.5295981,126.9241049,____,1E6CD6
11740,37.5514116,127.1442739,___,3616F2
11710,37.4831039,127.1277598,___,DB3323
11710,37.4933042,127.1186902,___,DB3323
11710,37.5038843,127.1246821,___,DB3323
11560,37.511431,126.9003751,____,1E6CD6
11380,37.6109255,126.9358658,___,16F277
11590,37.5128902,126.9364032,___,34EA0C
11560,37.5224798,126.9246283,____,1E6CD6
11560,37.5218219,126.9281371,____,1E6CD6
11560,37.5232262,126.9329701,____,1E6CD6
11560,37.5207946,126.9291823,____,1E6CD6
11560,37.5191805,126.9305766,____,1E6CD6
11560,37.5183879,126.9339053,____,1E6CD6
11710,37.5076223,127.1297225,___,DB3323
11710,37.5166773,127.1053736,___,DB3323
11380,37.5998303,126.9164746,___,16F277
11380,37.6003885,126.9200154,___,16F277
11560,37.5255002,126.886994,____,1E6CD6
11710,37.4950379,127.1224067,___,DB3323
11590,37.4874423,126.9133293,___,34EA0C
11560,37.5274284,126.9172798,____,1E6CD6
11560,37.5238038,126.9241756,____,1E6CD6
11560,37.5355115,126.9027635,____,1E6CD6
11560,37.4919643,126.9084414,____,1E6CD6
11560,37.5063288,126.8945237,____,1E6CD6
11740,37.5240158,127.1293236,___,3616F2
11560,37.5274627,126.8966208,____,1E6CD6
11560,37.5337542,126.9021405,____,1E6CD6
11560,37.5289482,126.896029,____,1E6CD6
11680,37.5165106,127.0204433,___,F7071C
11380,37.6189767,126.9211839,___,16F277
11440,37.5629411,126.90377,___,FC00F0
11110,37.5545067,127.0109109,___,A65AFF
11560,37.5319403,126.9063214,____,1E6CD6
11440,37.5477579,126.9422018,___,FC00F0
11215,37.5418627,127.0664696,___,F28116
11215,37.5409526,127.0698826,___,F28116
11215,37.5424929,127.0644594,___,F28116
11215,37.546908,127.0733799,___,F28116
11290,37.5787733,127.0225897,___,A66FCB
11560,37.5254635,126.9081322,____,1E6CD6
11590,37.5079387,126.9652455,___,34EA0C
11440,37.5631887,126.9132564,___,FC00F0
11650,37.4805639,126.9987402,___,16F22D
11560,37.5002512,126.920023,____,1E6CD6
11560,37.5134671,126.9227948,____,1E6CD6
11560,37.517502,126.8886208,____,1E6CD6
11305,37.6342609,127.021874,___,F27616
11260,37.5941499,127.0758883,___,16DEF2
11650,37.5032263,127.0215238,___,16F22D
11530,37.4936527,126.8722086,___,16EDF2
11650,37.4723633,127.045187,___,16F22D
11470,37.5386266,126.8268661,___,6323DB
11305,37.6211674,127.0286548,___,F27616
11380,37.6232176,126.9279183,___,16F277
11110,37.5583894,126.972142,___,A65AFF
11740,37.5443376,127.1420521,___,3616F2
11740,37.52894,127.1203109,___,3616F2
11560,37.5248586,126.9094354,____,1E6CD6
11590,37.4916828,126.9091634,___,34EA0C
11590,37.4861651,126.9056182,___,34EA0C
11590,37.5133221,126.9461505,___,34EA0C
11650,37.5018628,127.0114507,___,16F22D
11590,37.4884353,126.9074169,___,34EA0C
11560,37.5403651,126.8918062,____,1E6CD6
11650,37.4942031,127.0185325,___,16F22D
11110,37.5650627,126.9915049,___,A65AFF
11650,37.494599,127.0114407,___,16F22D
11650,37.4986418,127.0243754,___,16F22D
11650,37.4938878,127.0125181,___,16F22D
11650,37.4943702,127.0131229,___,16F22D
11560,37.5054443,126.900573,____,1E6CD6
11560,37.4965395,126.9086338,____,1E6CD6
11650,37.4923283,127.0122127,___,16F22D
11650,37.4912158,126.9892925,___,16F22D
11650,37.4790723,127.0373854,___,16F22D
11650,37.486203,127.0214259,___,16F22D
11650,37.4871656,127.0095631,___,16F22D
11560,37.5149792,126.8890672,____,1E6CD6
11560,37.5175165,126.8926479,____,1E6CD6
11560,37.5192744,126.8926904,____,1E6CD6
11710,37.5024537,127.1348493,___,DB3323
11560,37.5206909,126.8826485,____,1E6CD6
11560,37.5197097,126.9122658,____,1E6CD6
11560,37.5196629,126.9042592,____,1E6CD6
11560,37.5204379,126.9044733,____,1E6CD6
11560,37.5255502,126.9074485,____,1E6CD6
11560,37.5210392,126.9033056,____,1E6CD6
11560,37.5273288,126.8871504,____,1E6CD6
11530,37.49115,126.8562694,___,16EDF2
11560,37.5292662,126.9208619,____,1E6CD6
11560,37.5298351,126.9191312,____,1E6CD6
11560,37.5281133,126.9199103,____,1E6CD6
11710,37.5072852,127.1095757,___,DB3323
11560,37.5283831,126.9045337,____,1E6CD6
11290,37.6019146,127.0414876,___,A66FCB
11350,37.6150214,127.0657995,___,C5F216
11110,37.5586617,126.9782965,___,A65AFF
11740,37.5282994,127.1364035,___,3616F2
11740,37.5377883,127.1247506,___,3616F2
11215,37.5294256,127.0740233,___,F28116
11560,37.5192268,126.9068375,____,1E6CD6
11560,37.5298424,126.9219182,____,1E6CD6
11710,37.4877166,127.1221554,___,DB3323
11560,37.5308003,126.9285963,____,1E6CD6
11560,37.523192,126.9400234,____,1E6CD6
11650,37.4913268,127.0107034,___,16F22D
11650,37.486007,127.0210113,___,16F22D
11260,37.5961243,127.0855877,___,16DEF2
11650,37.4925833,127.0109845,___,16F22D
11560,37.5227461,126.9279542,____,1E6CD6
11560,37.5238916,126.929788,____,1E6CD6
11560,37.5216203,126.9263075,____,1E6CD6
11560,37.5416533,126.8910204,____,1E6CD6
11440,37.5736513,126.886344,___,FC00F0
11560,37.5339364,126.8924753,____,1E6CD6
11560,37.5293695,126.9247816,____,1E6CD6
11260,37.6009021,127.1047828,___,16DEF2
11680,37.4905274,127.0358457,___,F7071C
11650,37.5191055,127.0122745,___,16F22D
11500,37.5586079,126.8608311,___,A816F2
11290,37.6069532,127.0289512,___,A66FCB
11500,37.5588721,126.8099826,___,A816F2
11500,37.5558804,126.8589178,___,A816F2
11500,37.5318727,126.8544611,___,A816F2
11500,37.553483,126.8436456,___,A816F2
11500,37.5588635,126.8482195,___,A816F2
11500,37.5480204,126.8600202,___,A816F2
11500,37.5510763,126.8495442,___,A816F2
11680,37.5084025,127.040992,___,F7071C
11680,37.4939383,127.0642026,___,F7071C
11680,37.517305,127.047502,___,F7071C
11680,37.5160727,127.0521441,___,F7071C
11680,37.4833851,127.0471233,___,F7071C
11680,37.4909267,127.0384706,___,F7071C
11680,37.47976015,127.0879073,___,F7071C
11680,37.4818898,127.0574661,___,F7071C
11680,37.4897723,127.0689523,___,F7071C
11680,37.4788183,127.0516374,___,F7071C
11680,37.5115706,127.028461,___,F7071C
11680,37.517342,127.037213,___,F7071C
11680,37.4931401,127.0566765,___,F7071C
11680,37.5022848,127.0642072,___,F7071C
11680,37.499866,127.0577874,___,F7071C
11680,37.4885147,127.0387883,___,F7071C
11680,37.4837425,127.0464338,___,F7071C
11680,37.5112,127.04595,___,F7071C
11680,37.4690635,127.1069322,___,F7071C
11680,37.4889102,127.1049103,___,F7071C
11680,37.5240101,127.0227814,___,F7071C
11680,37.530642,127.030713,___,F7071C
11680,37.4954841,127.0333574,___,F7071C
11680,37.4959674,127.0468034,___,F7071C
11680,37.491839,127.0879629,___,F7071C
11680,37.4922048,127.0737224,___,F7071C
11680,37.4833485,127.0864633,___,F7071C
11680,37.5251083,127.0493,___,F7071C
11680,37.52052897,127.0540445,___,F7071C
11680,37.50001348,127.0669398,___,F7071C
11680,37.4881818,127.0389239,___,F7071C
11680,37.52729298,127.0357833,___,F7071C
11680,37.4954841,127.0333574,___,F7071C
11680,37.49393789,127.0410313,___,F7071C
11680,37.519128,127.0464205,___,F7071C
11680,37.519108,127.046445,___,F7071C
11680,37.5022848,127.0642072,___,F7071C
11680,37.497742,127.026214,___,F7071C
11680,37.498251,127.029331,___,F7071C
11680,37.504728,127.050539,___,F7071C
11680,37.517435,127.022059,___,F7071C
11680,37.511989,127.061086,___,F7071C
11680,37.51628601,127.0422041,___,F7071C
11680,37.5163931,127.0422835,___,F7071C
11680,37.488805,127.1054661,___,F7071C
11680,37.48696465,127.107019,___,F7071C
11680,37.51698596,127.0516077,___,F7071C
11680,37.49234151,127.0746666,___,F7071C
11680,37.5032219,127.0543227,___,F7071C
11680,37.47058113,127.1192729,___,F7071C
11680,37.48472679,127.0934479,___,F7071C
11680,37.49256193,127.07517,___,F7071C
11680,37.518774,127.020569,___,F7071C
11680,37.509119,127.023881,___,F7071C
11680,37.522519,127.057737,___,F7071C
11680,37.502244,127.036454,___,F7071C
11680,37.5023604,127.0365098,___,F7071C
11680,37.5035372,127.0470764,___,F7071C
11680,37.502643,127.037681,___,F7071C
11680,37.52322,127.022265,___,F7071C
11680,37.51769,127.02268,___,F7071C
11680,37.519982,127.022833,___,F7071C
